,MSE
1,0.02814846356709798
2,0.015835418701171874
3,0.01673511823018392
4,0.02041859785715739
5,0.014359671274820964
6,0.0172136656443278
7,0.017676180203755696
8,0.01332035223642985
9,0.01724030653635661
10,0.013818855285644532
11,0.01565717697143555
12,0.013340741793314615
13,0.01527133305867513
14,0.013190118471781413
15,0.015080375671386719
16,0.013203833897908529
17,0.014248671531677247
18,0.012332146962483723
19,0.014164846738179524
20,0.01183387279510498
21,0.013120063145955404
22,0.01207254409790039
23,0.013383878072102865
24,0.010738990306854247
25,0.012868262132008871
26,0.011956624984741211
27,0.014252837498982747
28,0.012348306179046632
29,0.012409910360972087
30,0.011596482594807942
31,0.012624138991038005
32,0.011878270308176677
33,0.012486777305603027
34,0.011384065945943196
35,0.011593453089396159
36,0.0109761381149292
37,0.01130193869272868
38,0.01081194559733073
39,0.011094584465026855
40,0.01070177714029948
41,0.011107651392618816
42,0.010787347157796223
43,0.011090347766876221
44,0.01049103577931722
45,0.010865798791249593
46,0.010866677761077881
47,0.010514790217081706
48,0.01034858226776123
49,0.01114966074625651
50,0.010405555566151936
51,0.0106818954149882
52,0.010371190706888835
53,0.010327332814534506
54,0.010319716135660807
55,0.010327232678731283
56,0.010397318998972576
57,0.010582967599232992
58,0.010098594029744466
59,0.010721363226572673
60,0.009975889523824055
61,0.010669910113016764
62,0.009995722770690918
63,0.010299062728881836
64,0.009760843912760416
65,0.010458374818166097
66,0.009504685401916504
67,0.010758914947509766
68,0.010464146931966145
69,0.011754113833109538
70,0.012287548383076986
71,0.01094199021657308
72,0.010163034598032633
73,0.010966185728708904
74,0.010289160410563152
75,0.010702069600423176
76,0.010107278823852539
77,0.010529352823893228
78,0.0099720033009847
79,0.010198313395182292
80,0.009741239547729492
81,0.010188526312510172
82,0.009706796010335287
83,0.010221347808837891
84,0.00978707790374756
85,0.010103116830190023
86,0.009847755432128907
87,0.010058344999949138
88,0.009738686084747315
89,0.009928882916768392
90,0.00949453035990397
91,0.00999964157740275
92,0.009441603024800618
93,0.009578340848286947
94,0.0096151336034139
95,0.009587317307790121
96,0.009612059593200684
97,0.009979821046193441
98,0.009507950146993
99,0.010050517717997233
100,0.009385762214660644
101,0.009761306444803873
102,0.009427401224772135
103,0.009576751391092935
104,0.009173973401387533
105,0.009653718471527099
106,0.00922373374303182
107,0.009959742228190105
108,0.009565339088439942
109,0.009680301348368326
110,0.009595237572987874
111,0.009373334248860677
112,0.009535220464070638
113,0.009687965710957844
114,0.009240438143412272
115,0.00979830265045166
116,0.009589797655741373
117,0.009591806729634602
118,0.009714556535085043
119,0.009863222440083821
120,0.009202899932861329
121,0.009889609813690185
