,MSE
1,0.029096330006917318
2,0.02515625476837158
3,0.014665861129760743
4,0.015417707761128744
5,0.01977234681447347
6,0.014576044082641602
7,0.014161437352498373
8,0.015293709437052409
9,0.011739357312520345
10,0.015414768854777019
11,0.01637985706329346
12,0.01077749490737915
13,0.014677777290344238
14,0.015303277969360351
15,0.019889225959777834
16,0.013623123168945312
17,0.013689578374226888
18,0.009500568707784016
19,0.010620272159576416
20,0.010555408795674641
21,0.010588555335998536
22,0.013312537670135498
23,0.0102090589205424
24,0.0148354705174764
25,0.011626753807067871
26,0.013557170232137044
27,0.009748878479003907
28,0.012648750940958658
29,0.012274916966756184
30,0.012922469774882
31,0.011284804344177246
32,0.012873851458231608
33,0.00765957514444987
34,0.008187580108642577
35,0.011101853052775066
36,0.012442075411478678
37,0.007377839883168538
38,0.010678010781606039
39,0.01665284315745036
40,0.01285907745361328
41,0.01404444694519043
42,0.011715036233266194
43,0.01242602030436198
44,0.009871395428975423
45,0.012301464080810547
46,0.011009968916575115
47,0.01387505849202474
48,0.00752738873163859
49,0.011121431986490885
50,0.01097106138865153
51,0.011527342796325684
52,0.012986447811126709
53,0.012045486768086752
54,0.013469966252644856
55,0.013821175893147786
56,0.010877655347188315
57,0.012137492497762045
58,0.012042828400929769
59,0.007787961959838868
60,0.01382250467936198
61,0.012785205841064453
62,0.011081587473551433
63,0.00954027016957601
64,0.010210974216461182
65,0.0096410338083903
66,0.009299680391947429
67,0.009087905883789063
68,0.009395338694254558
69,0.009464631875356039
70,0.009729331334431966
71,0.009293572107950846
72,0.0064414290587107344
73,0.009793934822082519
74,0.009922574361165365
75,0.009458404382069905
76,0.009449556668599446
77,0.008534778753916422
78,0.008576221466064453
79,0.00846001942952474
80,0.007780544757843018
81,0.008230010668436686
82,0.00861972173055013
83,0.007299706141153972
84,0.009593739509582519
85,0.006431705156962077
86,0.008887758255004883
87,0.007220344543457031
88,0.007395682334899903
89,0.008180667559305826
90,0.006813052495320638
91,0.008776270548502604
92,0.0064019131660461425
93,0.009085528055826823
94,0.007411117553710937
95,0.007086000442504883
96,0.007834178606669108
97,0.007216986020406087
98,0.007271019617716471
99,0.007417845726013184
100,0.008354110717773438
101,0.0061875840028127035
102,0.00911157766977946
103,0.009415927728017172
104,0.006732277075449626
105,0.008549934228261311
106,0.0070394023259480795
107,0.008280104796091715
108,0.00781943957010905
109,0.007839665412902833
110,0.0072707239786783855
111,0.0065349062283833826
112,0.00713626225789388
113,0.006303429206212362
114,0.007914733091990154
115,0.007578776677449544
116,0.00832151730855306
117,0.00896677811940511
118,0.007213835716247559
119,0.008712865511576335
120,0.006014111042022705
121,0.009643539587656657
122,0.008652660846710205
123,0.008137412071228027
124,0.008694605827331543
125,0.007430651982625326
126,0.00883216381072998
127,0.007668947378794352
128,0.007649610042572022
129,0.008030699888865152
130,0.007444019317626953
131,0.00684703509012858
132,0.008258276780446371
133,0.0071213912963867185
134,0.008257635434468587
135,0.007833804289499919
136,0.008673945267995198
137,0.008190019925435384
138,0.00741528590520223
139,0.0075094970067342125
140,0.007990570068359374
141,0.007332572937011719
142,0.006881197293599446
143,0.007849984169006348
144,0.007769447962443034
145,0.008306941986083984
146,0.00808626890182495
147,0.007077028751373291
148,0.00824698289235433
149,0.006102620760599772
150,0.009458521207173665
151,0.008672552108764648
152,0.009406940142313639
153,0.008263802528381348
154,0.006557032664616902
155,0.007756477991739909
156,0.006667621930440267
157,0.007822944323221842
158,0.006294991970062256
159,0.007974880536397298
160,0.00602370023727417
161,0.00941591739654541
162,0.00810057004292806
163,0.008222853342692057
164,0.00828040917714437
165,0.00624468723932902
166,0.007265758514404297
167,0.007635941505432129
168,0.008191141287485758
169,0.006457448403040568
170,0.007896583875020345
171,0.007764892578125
172,0.009168697992960611
173,0.008344168663024903
174,0.007216862042744954
175,0.007828843593597413
176,0.006206111113230387
177,0.0073776515324910485
178,0.0074366569519042965
179,0.00818319320678711
180,0.007787988980611165
181,0.009471753438313801
182,0.007866379419962564
183,0.006136327584584554
184,0.006672670046488444
185,0.006736601193745931
186,0.006131188869476318
187,0.006184126933415731
188,0.007023475170135498
189,0.006265756686528524
190,0.009840569496154784
191,0.008170963128407796
192,0.007881932258605957
193,0.008023279507954915
194,0.007796826362609863
195,0.009044402440388998
196,0.008512867291768393
197,0.008517160415649414
198,0.007491687933603923
199,0.006538021564483643
200,0.00675280491511027
201,0.006153541008631388
202,0.008878413836161296
203,0.007775088946024577
204,0.007629199028015137
205,0.007487691243489583
206,0.007572072347005208
207,0.007238178253173828
208,0.007149213155110677
209,0.006189794143040975
210,0.007010556856791178
211,0.00739096482594808
212,0.006455776691436768
213,0.007143710454305013
214,0.0070817287762959796
215,0.006365495920181275
216,0.006974238554636638
217,0.008712112108866374
218,0.007992733319600423
219,0.008596677780151368
220,0.00758440891901652
221,0.006979672114054362
222,0.007647717793782552
223,0.007994649410247802
224,0.008864695231119792
225,0.007742303212483724
226,0.00722667376200358
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
