,MSE
1,0.024654510815938314
2,0.015447731018066407
3,0.014593664805094402
4,0.014139749209086101
5,0.013194212913513184
6,0.00851020336151123
7,0.012868741353352864
8,0.01182130495707194
9,0.010513892968495687
10,0.006553804079691569
11,0.012743935585021973
12,0.011901640097300211
13,0.007182747522989909
14,0.010816123485565186
15,0.007917110125223796
16,0.010827271143595378
17,0.009965827465057373
18,0.010567323366800944
19,0.010451591809590658
20,0.010150675773620605
21,0.010407214164733886
22,0.009810357093811036
23,0.010251927375793456
24,0.009456787109375
25,0.01000464121500651
26,0.009131496747334798
27,0.009690672556559244
28,0.008816544214884441
29,0.009364020029703777
30,0.008530542055765788
31,0.009026045799255372
32,0.008266414006551107
33,0.00871686617533366
34,0.008025058110555013
35,0.008433733781178792
36,0.007788182894388835
37,0.008127520084381104
38,0.007571626504262289
39,0.007846515973409017
40,0.007370591163635254
41,0.007590888341267903
42,0.007190001805623372
43,0.007359279791514079
44,0.007035698095957438
45,0.007245227495829265
46,0.006890864372253418
47,0.007124110857645671
48,0.006765766938527425
49,0.007051147619883219
50,0.006646435260772705
51,0.007001039187113444
52,0.006524631182352702
53,0.006922259330749512
54,0.006403464078903198
55,0.006819103558858236
56,0.006295112768809
57,0.0067317787806193035
58,0.006187901496887207
59,0.006627812385559082
60,0.00609274427096049
61,0.0065271373589833575
62,0.006010646422704061
63,0.006433783372243245
64,0.005940448443094889
65,0.006348485151926676
66,0.005872756640116374
67,0.006262845993041992
68,0.005811010599136353
69,0.006184432109196981
70,0.0057577947775522866
71,0.0061186440785725915
72,0.0057201985518137615
73,0.006063411235809326
74,0.005688674449920654
75,0.006010622183481852
76,0.005654016335805257
77,0.005953484773635864
78,0.005615960756937662
79,0.005897111892700195
80,0.005583058993021647
81,0.005843531290690104
82,0.005549233754475911
83,0.00579597274462382
84,0.005521711508433024
85,0.005751978556315104
86,0.0054923148949940995
87,0.0057123597462972004
88,0.005460472901662191
89,0.005671029488245646
90,0.005431466102600098
91,0.005632400910059611
92,0.005407131910324096
93,0.005598056316375733
94,0.005385808944702149
95,0.005564544995625814
96,0.005362730820973714
97,0.005534380276997884
98,0.005340092579523723
99,0.005505631764729818
100,0.005324529012044271
101,0.0054820577303568525
102,0.0053090214729309086
103,0.0054574032624562585
104,0.005287057558695476
105,0.005433421929677327
106,0.005257529020309448
107,0.005413314501444499
108,0.005241182645161947
109,0.005394442876180013
110,0.005229677359263102
111,0.005372394720713297
112,0.005212862491607666
113,0.0053526353836059574
114,0.005201443831125896
115,0.005331539710362752
116,0.005184289614359538
117,0.005309143861134847
118,0.005171341101328532
119,0.005287455320358276
120,0.005154292583465576
121,0.005263655185699463
122,0.0051381468772888185
123,0.005243863264719645
124,0.005126713116963704
125,0.005227071841557821
126,0.005113552808761596
127,0.0052059805393218994
128,0.0051031684875488285
129,0.005184687376022339
130,0.0050854019323984785
131,0.005164132118225097
132,0.005071300268173218
133,0.0051423215866088865
134,0.00505427598953247
135,0.005124634901682536
136,0.0050412837664286295
137,0.005106979211171468
138,0.005027539730072021
139,0.0050877730051676435
140,0.005014271338780721
141,0.005068294207255046
142,0.005001536210378011
143,0.005047874848047892
144,0.004990177949269613
145,0.0050279434521993
146,0.004975517590840657
147,0.0050055559476216635
148,0.004959935347239176
149,0.004978930950164795
150,0.0049456469217936195
151,0.004947024981180827
152,0.004933399359385172
153,0.004914880990982056
154,0.004914669195810953
155,0.004890602429707845
156,0.004901724656422933
157,0.004865032831827799
158,0.004892367521921794
159,0.004843581914901734
160,0.004886613686879476
161,0.004821535746256511
162,0.004877837101618449
163,0.004805347124735514
164,0.004866551558176676
165,0.0047892471154530845
166,0.004850385983784993
167,0.00477648417154948
168,0.00483605146408081
169,0.004772831598917643
170,0.004819134871164958
171,0.004776771068572998
172,0.004801653226216634
173,0.004780557155609131
174,0.004775403340657552
175,0.004770350456237793
176,0.004753019014994303
177,0.004748263359069824
178,0.004708455006281535
179,0.004712479909261068
180,0.004771127700805664
181,0.004617687861124675
182,0.004637929598490397
183,0.004787994225819906
184,0.004577775796254476
185,0.004669371445973714
186,0.004742232163747152
187,0.004734800656636556
188,0.004660956064860026
189,0.004440306822458903
190,0.004669314622879029
191,0.004743122657140096
192,0.004541280666987101
193,0.00472647229830424
194,0.004489575227101644
195,0.004683467944463094
196,0.004435148636500041
197,0.004648330211639404
198,0.004668978055318197
199,0.004820112784703573
200,0.00469499667485555
201,0.004503019253412882
202,0.004666314522425333
203,0.004531927903493245
204,0.0043069068590799965
205,0.004509638945261637
206,0.0047880701224009194
207,0.004471461772918701
208,0.005682966709136963
209,0.004388463894526164
210,0.00489539623260498
211,0.004521614710489909
212,0.004510916074117024
213,0.004527640342712402
214,0.004507190386454265
215,0.00438038984934489
216,0.004730316400527954
217,0.004557054042816162
218,0.004369971752166748
219,0.004509741465250651
220,0.0045122297604878745
221,0.004293848276138306
222,0.004582877159118652
223,0.004306808710098266
224,0.004460904598236084
225,0.004575505256652832
226,0.004276487032572428
227,0.0044858169555664065
228,0.00579975684483846
229,0.004390978415807088
230,0.004466115633646647
231,0.0067843063672383625
232,0.004541209936141968
233,0.006229942639668783
234,0.004842746655146281
235,0.005212187767028809
236,0.004889546235402425
237,0.00455404281616211
238,0.005123476584752401
239,0.004622639815012614
240,0.005048640569051107
241,0.004633011023203532
242,0.004973732630411784
243,0.004566423098246257
244,0.004931650161743164
245,0.004571912288665772
246,0.004891060988108317
247,0.00465723991394043
248,0.0047832719484965005
249,0.0046178317070007325
250,0.004783008893330892
