,MSE
1,0.0319783878326416
2,0.018259805043538413
3,0.014871249198913574
4,0.010240330696105956
5,0.01438467025756836
6,0.015371305147806803
7,0.014484933217366536
8,0.012101597785949707
9,0.01437491734822591
10,0.010653731028238932
11,0.01234993060429891
12,0.011252997716267903
13,0.012808210055033365
14,0.010302616755167643
15,0.011157907644907634
16,0.010695977210998535
17,0.012140359083811442
18,0.01056153933207194
19,0.01195937156677246
20,0.011062846978505453
21,0.012117482821146648
22,0.009928181966145833
23,0.011386156876881917
24,0.010821659564971924
25,0.010818734963734944
26,0.010151686668395997
27,0.01105492353439331
28,0.010102949142456054
29,0.01018212636311849
30,0.009884586334228515
31,0.010751200517018637
32,0.009914623896280924
33,0.009748810132344564
34,0.009704521497090658
35,0.010991582870483399
36,0.010021548271179199
37,0.010103825728098552
38,0.009619139035542805
39,0.010186312993367513
40,0.009494516054789225
41,0.010035419464111328
42,0.00942256768544515
43,0.00986125628153483
44,0.009202471574147542
45,0.009843751589457194
46,0.009409286181132
47,0.009679606755574544
48,0.009200940132141113
49,0.009931519826253255
50,0.009223678906758626
51,0.009746332168579102
52,0.00893142302831014
53,0.009449537595113118
54,0.0087363068262736
55,0.009616073767344156
56,0.008993061383565266
57,0.009643824895222981
58,0.009106675783793131
59,0.009578904310862224
60,0.009143595695495605
61,0.009440773328145345
62,0.00872182528177897
63,0.009479412237803141
64,0.008603353500366211
65,0.009276501337687175
66,0.008767152627309163
67,0.009403125445048014
68,0.008491412798563639
69,0.009510455131530761
70,0.00828963279724121
71,0.009495915571848552
72,0.008576510747273763
73,0.008870582580566406
74,0.008465903600056966
75,0.0090154496828715
76,0.008153794606526692
77,0.009331220785776775
78,0.008334161440531413
79,0.008946185906728108
80,0.008239611784617107
81,0.008687041600545247
82,0.008215030034383139
83,0.008945962587992351
84,0.008201201756795248
85,0.009134972890218099
86,0.008391607602437337
87,0.0087939715385437
88,0.008410930633544922
89,0.008959306875864664
90,0.008272335529327393
91,0.008718819618225097
92,0.008167675336201986
93,0.009025556246439616
94,0.00820413589477539
95,0.008923384348551432
96,0.008030590216318766
97,0.008490330378214518
98,0.00790746529897054
99,0.008455254236857097
100,0.0077319590250651046
101,0.008585108121236166
102,0.007873706817626953
103,0.008427479267120362
104,0.00774798313776652
105,0.008348617553710937
106,0.00779764731725057
107,0.008400575319925944
108,0.007827874819437662
109,0.00841482400894165
110,0.007768802642822266
111,0.008338949680328368
112,0.007982006867726644
113,0.008194742202758789
114,0.007870514392852784
115,0.008244505723317464
116,0.0077131414413452145
117,0.008326526482899983
118,0.007916964689890544
119,0.008118921915690105
120,0.008043050765991211
121,0.008141805330912272
122,0.007803556124369304
123,0.008559975624084473
124,0.007898360888163248
125,0.008107471466064452
126,0.007844363848368327
127,0.009156752427419026
128,0.007337398529052734
129,0.008730808893839518
130,0.00796337127685547
131,0.008160898685455322
132,0.007651761372884114
133,0.00809255599975586
134,0.007613012790679932
135,0.008066090742746989
136,0.007605574131011963
137,0.007944520314534504
138,0.0076269276936848955
139,0.007874596913655598
140,0.007565639813741048
141,0.007889649073282878
142,0.007462265491485595
143,0.007794405619303385
144,0.0073334201176961265
145,0.00781527837117513
146,0.007443398634592692
147,0.00805693785349528
148,0.007559345563252767
149,0.007846425374348959
150,0.007698442935943604
151,0.007786045074462891
152,0.0076018818219502765
153,0.007660365104675293
154,0.007535505294799805
155,0.007736306190490722
156,0.007556349436442057
157,0.007901298999786376
158,0.00746855894724528
159,0.007812007268269857
160,0.007642146746317546
161,0.007692508697509766
162,0.0076493239402771
163,0.007835702101389567
164,0.007550394535064698
165,0.0076001421610514324
166,0.0075266853968302405
167,0.0075845479965209964
168,0.007358902295430501
169,0.007760184605916341
170,0.007354285717010498
171,0.007589980761210124
172,0.0075478219985961915
173,0.00785916805267334
174,0.007519368330637614
175,0.007757856845855713
176,0.007444970607757569
177,0.0074753260612487795
178,0.007324838638305664
179,0.007542914549509685
180,0.007341771920522054
181,0.007531463305155436
182,0.0072715028127034505
183,0.007590816815694173
184,0.007320351600646972
185,0.0074926805496215824
186,0.007231809298197428
187,0.007351396878560384
188,0.007286323706309001
189,0.007792747815450032
190,0.007454721132914225
191,0.007510622342427571
192,0.0072126571337382
193,0.007550819714864095
194,0.007357041041056315
195,0.007425262133280436
196,0.00727299690246582
197,0.007494737307230631
198,0.007193835576375326
199,0.007569820086161296
200,0.007191971143086751
201,0.007472283045450847
202,0.007226700782775879
203,0.0073609884579976395
204,0.007228798866271972
205,0.007362582683563232
206,0.007092549006144206
207,0.0074088525772094726
208,0.007206384340922038
209,0.00741980234781901
210,0.007252999941507975
211,0.0073021030426025394
212,0.0071330595016479495
213,0.007361390590667725
214,0.007234633763631185
215,0.007213892141977946
216,0.007310619354248047
217,0.007186169624328613
218,0.0071880181630452475
219,0.007448148727416992
220,0.007251880963643392
221,0.0072518364588419594
222,0.0072740459442138675
223,0.007116763591766357
224,0.007100508213043213
225,0.007174989382425944
226,0.007155497074127198
227,0.007185724576314291
228,0.006967010498046875
229,0.007195431391398112
230,0.006922359466552734
231,0.007292138735453288
232,0.007173278331756592
233,0.007275225321451823
234,0.007191362380981445
235,0.007394729455312093
236,0.007175874710083008
237,0.007369990348815918
238,0.007097234725952148
239,0.0070592260360717776
240,0.007058573563893636
241,0.007114486694335937
242,0.007244712511698405
243,0.007280519008636474
244,0.007216485341389974
245,0.0070621124903361004
246,0.007221078872680664
247,0.007153889338175456
248,0.007062188784281413
249,0.007114393711090088
250,0.0069242286682128906
251,0.007071169217427572
252,0.006862461566925049
253,0.007111018498738607
254,0.007006626923878987
255,0.0070485353469848635
256,0.007133537928263346
257,0.007179358005523682
258,0.007161955833435058
259,0.007130339940388997
260,0.007153401374816895
261,0.007037728627522786
262,0.0069950135548909505
263,0.006971973578135173
264,0.006895186106363933
265,0.007011675039927165
266,0.007150155703226725
267,0.007118022441864014
268,0.006903210481007894
269,0.007173050244649252
270,0.006902661323547363
271,0.007086685498555501
272,0.0068271271387736
273,0.006975664297739665
274,0.006813361644744873
275,0.006923244794209798
276,0.006925225257873535
277,0.006955422560373942
278,0.006928909619649252
279,0.006915834744771322
280,0.007096412976582845
281,0.007005519866943359
282,0.006864167849222819
283,0.007084377606709798
284,0.006741922696431478
285,0.006892619927724202
286,0.006821938355763753
287,0.0069275506337483726
288,0.006838657061258952
289,0.007057096163431803
290,0.006738181114196777
291,0.006930046876271565
292,0.006923434734344483
293,0.006990777651468913
294,0.006898969809214274
295,0.006783906618754069
296,0.006781493822733561
297,0.0070612430572509766
298,0.006675113042195638
299,0.006777332623799642
300,0.006660505533218384
301,0.006769251823425293
302,0.006641194025675456
303,0.006790640354156494
304,0.0065986478328704835
305,0.00676877498626709
306,0.006822969118754069
307,0.006852829456329345
308,0.006755458513895671
309,0.006940404574076335
310,0.006721850236256917
311,0.006659465630849203
312,0.006607819000879924
313,0.006692617734273275
314,0.006749362945556641
315,0.006665982802708944
316,0.00663466215133667
317,0.006685553391774495
318,0.006526840527852376
319,0.006499871412913005
320,0.006584112644195557
321,0.006695623397827148
322,0.0065629653135935466
323,0.006745330492655436
324,0.006529583136240641
325,0.006752514044443767
326,0.006727172533671061
327,0.006815095742543538
328,0.00661650021870931
329,0.006813613573710123
330,0.006590704123179118
331,0.006588007609049479
332,0.006509798367818197
333,0.0065913784503936765
