,MSE
1,0.006917670640078458
2,0.006499774347652088
3,0.005194006182930686
4,0.00431473742831837
5,0.004397668079896407
6,0.003684398260983554
7,0.003998645869168369
8,0.003460861336101185
9,0.0037177359515970405
10,0.0032181046225807884
11,0.0034207371148196135
12,0.0030071748928590255
13,0.003188758275725625
14,0.002896964820948514
15,0.003090228004889055
16,0.0028401588851755316
17,0.0030168798836794765
18,0.00280382362279025
19,0.0029558300971984862
20,0.002769113399765708
21,0.0029194333336570047
22,0.002729583599350669
23,0.0028924665667793966
24,0.002683615955439481
25,0.0028408546339381826
26,0.002641046860001304
27,0.0028055207295851273
28,0.0026052239266308873
29,0.0027395568110726094
30,0.0025658813389864833
31,0.002543459426272999
32,0.002524314685301347
33,0.002677899328145114
34,0.0024944186210632325
35,0.0025937754999507557
36,0.0025638791647824375
37,0.0024484211748296565
38,0.0025629634206945245
39,0.0025573250922289762
40,0.002416587688706138
41,0.002498340064829046
42,0.0023945312608372083
43,0.002471595460718328
44,0.0024614881385456432
45,0.00234868661923842
46,0.002351688796823675
47,0.002319360321218317
48,0.0024343891577287154
49,0.0023348079486326737
50,0.0022996241396123713
51,0.002276754921132868
52,0.002257543531331149
53,0.00225953148169951
54,0.002311789718541232
55,0.00224148305979642
56,0.0022313445806503296
57,0.00221476825800809
58,0.002226746759631417
59,0.002248536998575384
60,0.0022104244340549815
61,0.0022250325842337174
62,0.002183555472980846
63,0.002192674983631481
64,0.0021753099831667813
65,0.00217556817965074
66,0.002164605530825528
67,0.002152401479807767
68,0.002125272967598655
69,0.0021793228658762843
70,0.0021352055397900666
71,0.0021723628044128416
72,0.0021560831503434617
73,0.0021025023677132344
74,0.0021413559263402764
75,0.0020951544696634467
76,0.002140397239815105
77,0.002068132839419625
78,0.0021139551292766222
79,0.0020625588568774136
80,0.0021285995841026305
81,0.0020463715900074352
82,0.0020643572915684093
83,0.0020727519284595144
84,0.002060605043714697
85,0.002051073448224501
86,0.0020545791495930063
87,0.0020371943712234495
88,0.002032051980495453
89,0.0020252620631998237
90,0.002024050463329662
91,0.0020342049273577604
92,0.002014278688214042
93,0.002026360414244912
94,0.0020114558664235203
95,0.002014606242830103
96,0.002018257433717901
97,0.001987299458547072
98,0.0020059436559677125
99,0.002006369558247653
100,0.0019973421638662166
101,0.0020036654038862746
102,0.001990748535503041
103,0.0022523629394444553
104,0.0020489234815944325
105,0.002020632407881997
106,0.0020093844695524736
107,0.002002719044685364
108,0.0019989073276519775
109,0.002000233124602925
110,0.001995498212901029
111,0.00198762985793027
112,0.001986995881254023
113,0.0019809340888803655
114,0.0019779394973408093
115,0.0019770340486006304
116,0.0020233197645707565
117,0.001997567306865345
118,0.003931445967067372
119,0.001980993151664734
120,0.0019861394708806817
121,0.0020098953084512193
122,0.002040900019082156
123,0.002021320028738542
124,0.0020066850564696573
125,0.0020125120878219604
126,0.0020080290057442403
127,0.00227953087199818
128,0.002002334865656766
129,0.0020092392509633845
130,0.002001522345976396
131,0.002004301818934354
132,0.0020370276136831805
133,0.002033389698375355
134,0.0020251241597262297
135,0.0020296459848230535
136,0.002026741613041271
137,0.0020232168110934172
138,0.00308516188101335
139,0.0019743343645876104
140,0.0019654920155351813
141,0.002087480371648615
142,0.0020454576069658453
143,0.00204656259580092
144,0.002052772586995905
145,0.0020923435688018797
146,0.0021009554917162114
147,0.002047409794547341
148,0.002053223956714977
149,0.002036345140500502
150,0.0020361854271455245
151,0.002019080248746005
152,0.002029424634846774
153,0.0020148469643159347
154,0.002005258473482999
155,0.0020074294372038406
156,0.0020118567076596347
157,0.001998496326533231
158,0.001997389712116935
159,0.0022473025051030246
160,0.002049571004780856
161,0.0019971687685359607
162,0.001979876241900704
163,0.001982455091042952
164,0.001983530277555639
165,0.001982970671220259
166,0.001990819112821059
167,0.0019923474300991405
168,0.0019977507266131316
169,0.001991695978424766
170,0.0019980571486733177
171,0.0020050661130384963
172,0.0019671288403597747
173,0.001991318708116358
174,0.0020411009138280693
175,0.0019847623326561667
176,0.0019765689969062803
177,0.0019979951056567106
178,0.0020177787000482733
179,0.0030584695664319125
180,0.0019798544320193206
181,0.0019790532914074985
182,0.0021432762796228582
183,0.001968697797168385
184,0.002111270481889898
185,0.002227803116494959
186,0.0020177421244707973
187,0.001988979903134433
188,0.0019636756994507528
189,0.0019550564614209264
190,0.0019494827498089183
191,0.0019459471106529236
192,0.0019440393556248057
193,0.0019419622692194852
194,0.0019407632676037875
195,0.0019399473612958735
196,0.001939506693319841
197,0.001940442215312611
198,0.001939964158968492
199,0.0019399701194329694
200,0.0019400810653513129
201,0.0019468606872992081
202,0.0019452945752577349
203,0.0019427188418128273
204,0.0019495143131776289
205,0.0019403777339241722
206,0.0019451665607365695
207,0.0019486286423423074
208,0.0019670882008292457
209,0.0019482403993606567
210,0.0019379661841826005
211,0.0019430407068946145
212,0.0019434411417354237
213,0.0019787108356302437
214,0.0019376034086400812
215,0.001939699189229445
216,0.0019338955933397466
217,0.0019491845911199395
218,0.001925708759914745
219,0.0019389233805916525
220,0.0021868012168190696
221,0.0019223255189982327
222,0.0019303069873289629
223,0.0019259077581492336
224,0.001920106736096469
225,0.0019172085957093671
226,0.0023414015769958494
227,0.0019604692404920406
228,0.0020238980650901794
229,0.0019986149939623748
230,0.001935871351848949
231,0.0019205678593028676
232,0.001914678378538652
233,0.0019101749766956676
234,0.0019072624770077793
235,0.0019058350812305104
236,0.0019057035446166993
237,0.0019045417959039862
238,0.0019083043391054327
239,0.0019129793752323497
240,0.0019142918966033242
241,0.0018981554291465066
242,0.0019235513427040794
243,0.0019225120544433595
244,0.0019200472669167951
245,0.001906221021305431
246,0.0019059155475009571
247,0.0019032841378992253
248,0.001892521164634011
249,0.0019079001112417742
250,0.0018966325304724952
