,MSE
1,0.023844923973083496
2,0.016816593805948892
3,0.013434232076009115
4,0.014685552914937337
5,0.012037919362386068
6,0.012862143516540527
7,0.011168025334676106
8,0.01178070863087972
9,0.010848445892333984
10,0.011136792500813801
11,0.010616865158081055
12,0.01069264809290568
13,0.010345549583435058
14,0.010324886639912923
15,0.010054842631022135
16,0.009990331331888834
17,0.009776871999104817
18,0.009689961274464925
19,0.009509259859720866
20,0.009419312477111816
21,0.009263275464375813
22,0.009165910085042318
23,0.009008742968241374
24,0.008925596872965494
25,0.008774131139119467
26,0.008696866830190024
27,0.008548200925191244
28,0.008481109142303466
29,0.008337472279866536
30,0.008270891507466634
31,0.008142518202463785
32,0.008075314362843831
33,0.007970797220865885
34,0.007881129582722982
35,0.007805252869923909
36,0.007682894070943197
37,0.0076513735453287764
38,0.007486569086710612
39,0.007503456274668376
40,0.007280726432800293
41,0.007367671330769857
42,0.007071124712626139
43,0.007242819468180338
44,0.006865893205006917
45,0.0071325333913167316
46,0.006666271686553955
47,0.007036418914794922
48,0.006488744020462036
49,0.006949857076009114
50,0.0063190913200378415
51,0.006863164901733399
52,0.006167933940887451
53,0.006778732935587565
54,0.006036347548166911
55,0.006687831878662109
56,0.005927545626958211
57,0.006605621576309204
58,0.005831369161605835
59,0.006532420714696248
60,0.005743407011032105
61,0.006468966404596965
62,0.005671600898106893
63,0.006402341524759928
64,0.005604433218638102
65,0.006342606941858927
66,0.005549598932266236
67,0.006286662419637044
68,0.005493171215057373
69,0.006230710347493489
70,0.005439883470535279
71,0.006177358627319336
72,0.005396366119384766
73,0.006114141941070557
74,0.0053538155555725095
75,0.006056783596674601
76,0.005318440993626912
77,0.005997144778569539
78,0.00528645674387614
79,0.005940362612406413
80,0.00526189645131429
81,0.005881482760111491
82,0.005238316853841146
83,0.005825336376825968
84,0.0052231097221374515
85,0.005774164199829101
86,0.0052068297068278
87,0.00572578509648641
88,0.005190861225128174
89,0.005678009986877441
90,0.005176295836766561
91,0.005635124444961548
92,0.005162817239761352
93,0.00559214433034261
94,0.00514758825302124
95,0.0055534621079762776
96,0.005133830706278483
97,0.005511667331059774
98,0.005125300089518229
99,0.005470631122589112
100,0.0051124087969462075
101,0.005433592001597086
102,0.005102612574895223
103,0.0054046682516733805
104,0.00508652130762736
105,0.005374685923258463
106,0.005074700514475504
107,0.005350764592488607
108,0.005062177181243897
109,0.005321024656295776
110,0.005047752062479655
111,0.005304548740386963
112,0.005037256876627604
113,0.005274000167846679
114,0.005023965438206991
115,0.005258273681004842
116,0.005014173189798991
117,0.005232707659403483
118,0.0050010244051615395
119,0.00520833174387614
120,0.0049920280774434405
121,0.005136543114980061
122,0.0049810353914896644
123,0.005747435092926026
124,0.0051378568013509115
125,0.00522146463394165
126,0.004941005309422811
127,0.005224839846293131
128,0.0050464693705240884
129,0.005166319211324056
130,0.004916537205378215
131,0.0051711761951446535
132,0.004902630647023519
133,0.005264755090077718
134,0.004828444321950277
135,0.005826003948847453
136,0.004976596832275391
137,0.005614612102508545
138,0.005256350835164388
139,0.005214139223098755
140,0.004874070485432942
141,0.005214072068532308
142,0.0048801704247792566
143,0.005187264283498128
144,0.0049393665790557865
145,0.006287940740585327
146,0.00519869049390157
147,0.0052971359093983966
148,0.004905134439468384
149,0.005216572682062785
150,0.0051183005174001055
151,0.00590015172958374
152,0.005096421241760254
153,0.006223905483881633
154,0.005342778364817302
155,0.005417462984720866
156,0.00505526860555013
157,0.0054854476451873775
158,0.005142825444539388
159,0.005201406876246134
160,0.005067131519317627
161,0.005391581058502197
162,0.005132469336191813
163,0.005230910778045654
164,0.004998403787612915
165,0.005318782329559326
166,0.0054999176661173505
167,0.005407290458679199
168,0.004986801942189535
169,0.0053798369566599525
170,0.0050477949778238934
171,0.0053330190976460775
172,0.005079629818598429
173,0.005336900154749552
174,0.005037527879079183
175,0.0053647383054097495
176,0.005377494891484578
177,0.005341423749923706
178,0.0049504371484120685
179,0.005383599599202474
180,0.004923240343729655
181,0.005281017223993937
182,0.005053502321243286
183,0.005356252193450928
184,0.00495810588200887
185,0.005287714004516601
186,0.005245114962259928
187,0.005329430103302002
188,0.004967734018961589
189,0.005283964077631632
190,0.00498254934946696
191,0.0052301820119222
192,0.00504179835319519
193,0.005289531151453654
194,0.005441668033599853
195,0.005429228146870931
196,0.005214050610860188
197,0.007618277072906494
198,0.008478020032246908
199,0.005725416739781697
200,0.005943326155344645
201,0.006988979975382487
202,0.005802261034647624
203,0.005961113770802815
204,0.005781897703806559
205,0.006087143818537394
206,0.0055139394601186114
207,0.0056663727760314945
208,0.005388328234354655
209,0.005568079948425293
210,0.0055833268165588375
211,0.005624080499013265
212,0.00537551482518514
213,0.005534764130910238
214,0.005482281843821208
215,0.005546821753184001
216,0.005374961296717326
217,0.005452075799306234
218,0.005669340292612712
219,0.005654187997182211
220,0.0055862740675608315
221,0.00561777909596761
222,0.006031692028045654
223,0.005811680952707926
224,0.005612856149673462
225,0.005611638228098552
226,0.005529568990071614
227,0.005569460789362589
228,0.005488123099009196
229,0.005626972119013468
230,0.006376493771870931
231,0.00565266768137614
232,0.005460784037907918
233,0.005193214416503906
234,0.005351245403289795
235,0.005339693228403727
236,0.005454774300257365
237,0.005396474997202555
238,0.005440016587575276
239,0.005516428947448731
240,0.005486206610997518
241,0.00541823943456014
242,0.005484751065572103
243,0.005384641091028849
244,0.005554383993148804
245,0.005505225658416748
246,0.005471096833546956
247,0.00714993953704834
248,0.005809237162272135
249,0.005651961962381998
250,0.00546846071879069
251,0.005573482513427735
252,0.005478678941726684
253,0.005566029548645019
254,0.005497968196868897
255,0.005617554187774658
256,0.005617365042368571
257,0.005732531944910685
258,0.005592350165049235
259,0.005668139457702637
260,0.005685442288716634
261,0.00568582812945048
262,0.005541535218556722
263,0.0056845080852508546
264,0.0055258663495381674
265,0.005480008920033773
266,0.005500979423522949
267,0.005468389987945557
268,0.005445892810821533
269,0.005409210125605265
270,0.005571567217508952
271,0.005502078135808309
272,0.005722676118214925
273,0.005397460460662842
274,0.005363841056823731
275,0.005576540231704712
276,0.005431648095448812
277,0.005546995798746745
278,0.005427791277567546
279,0.005506856441497803
280,0.005417458216349284
281,0.005390450159708659
282,0.0053189551830291745
283,0.005366772810618083
284,0.005261991421381632
285,0.005566903750101725
286,0.005416046778361002
287,0.0056859389940897625
288,0.005582553545633952
289,0.005635384718577067
290,0.005518769025802612
291,0.0054904492696126305
292,0.0053592832883199056
293,0.005428648789723714
294,0.005298746029535929
295,0.00539389967918396
296,0.005374347766240438
297,0.005427389939626058
298,0.005348184903462728
299,0.005484437942504883
300,0.005335904359817505
301,0.005453019142150879
302,0.005347835222880046
303,0.00561601718266805
304,0.005248866081237793
305,0.005387708346048991
306,0.005290184815724691
307,0.005430193344751994
308,0.005352485179901123
309,0.005489182869593302
310,0.005297128359476725
311,0.005414642095565796
312,0.005329683621724446
313,0.005255018472671509
314,0.005296188592910767
315,0.005349758466084798
316,0.005292942523956299
317,0.005289610226949056
318,0.00527623971303304
319,0.005274972915649414
320,0.005219499667485555
321,0.005291025638580322
322,0.005238176186879476
323,0.0051712699731191
324,0.005265812476476034
325,0.0051289931933085125
326,0.005124833186467489
