,MSE
1,0.01138227038913303
2,0.009090754191080729
3,0.009206752777099609
4,0.008999188741048178
5,0.008863237169053819
6,0.008742340935601129
7,0.008582563400268554
8,0.00837803628709581
9,0.008256211810641819
10,0.008170846303304037
11,0.008078071276346842
12,0.007939578692118327
13,0.007843855751885308
14,0.007760946485731337
15,0.00768696837955051
16,0.007586361567179362
17,0.007539573245578342
18,0.007523596551683214
19,0.00739323721991645
20,0.007335973315768771
21,0.007238522635565864
22,0.0071859529283311635
23,0.007187099986606174
24,0.00713733779059516
25,0.007044559054904514
26,0.007047446038987901
27,0.007004313468933106
28,0.006958514319525825
29,0.006932023896111382
30,0.006859232054816352
31,0.006810766855875651
32,0.0067894299825032554
33,0.0067554526858859595
34,0.006693600548638238
35,0.006640271610683865
36,0.00659564283159044
37,0.006580458747016059
38,0.006566213501824273
39,0.006522857877943251
40,0.006475124888949924
41,0.0064141458935207795
42,0.006369114451938205
43,0.006325547960069444
44,0.0063318178388807505
45,0.0063379001617431645
46,0.006275300979614258
47,0.006272033055623372
48,0.006211978594462077
49,0.006155757904052734
50,0.006211977534823948
51,0.006132810380723741
52,0.0061084312862820095
53,0.008964989980061849
54,0.007430062823825413
55,0.006548186408148872
56,0.006229126188490126
57,0.0061374452379014755
58,0.006099056137932672
59,0.0060732041464911565
60,0.006043971379597982
61,0.006024664772881402
62,0.006002523104349772
63,0.006001771291097005
64,0.0059822787178887265
65,0.005958948665195041
66,0.005947169727749294
67,0.005927741792466906
68,0.005907708273993598
69,0.005907233556111654
70,0.005900899039374457
71,0.005896950827704536
72,0.005850258403354221
73,0.005835725996229384
74,0.005806070963541667
75,0.005847670237223307
76,0.005769613054063585
77,0.005769491195678711
78,0.005711961322360569
79,0.00571255366007487
80,0.005685941908094618
81,0.005668102900187174
82,0.005741626951429579
83,0.005645378430684408
84,0.005607992808024089
85,0.0056847805447048615
86,0.005593982272677951
87,0.005614246792263455
88,0.005533743964301215
89,0.0055656221177842885
90,0.005519045193990072
91,0.005501702096727159
92,0.005464922057257758
93,0.00545697742038303
94,0.005465338495042589
95,0.0054211288028293185
96,0.0054519600338406035
97,0.005434847937689887
98,0.005407496028476291
99,0.005350574917263455
100,0.005392079883151584
101,0.005333339373270671
102,0.005417869355943468
103,0.005422261555989584
104,0.005405314763387044
105,0.005263742340935601
106,0.005309783087836371
107,0.005241368611653646
108,0.005288590325249566
109,0.005277030732896593
110,0.005294528537326389
111,0.005309365060594347
112,0.005272442499796549
113,0.005256438255310058
114,0.005284284485710992
115,0.0052720684475368925
116,0.005232530170016818
117,0.005244647132025825
118,0.005221874448988173
119,0.005211344295077853
120,0.0052020094129774305
121,0.005193451245625814
122,0.005181862513224284
123,0.005235182974073622
124,0.0052210691240098745
125,0.005165863037109375
126,0.005245621999104818
127,0.005217280917697483
128,0.005149743821885851
129,0.005240163803100586
130,0.005192384190029568
131,0.0051756763458251955
132,0.005131052864922417
133,0.005091475910610623
134,0.005105142593383789
135,0.005106015735202365
136,0.005127508375379774
137,0.005129486189948188
138,0.005140452914767795
139,0.0050543212890625
140,0.005067892074584961
141,0.005087348090277778
142,0.005055114428202312
143,0.005072427855597602
144,0.005073479546440972
145,0.005117809507581923
146,0.005063816706339519
147,0.005105032920837403
148,0.0050825373331705725
149,0.00506048043568929
150,0.005165482627020942
151,0.005045897165934245
152,0.005189535882737901
153,0.005060337914360894
154,0.004989851845635308
155,0.004978271060519748
156,0.0050303469763861765
157,0.005108140839470757
158,0.0050081846449110245
159,0.005018534130520291
160,0.004967130025227864
161,0.005004710621303982
162,0.005047337214152018
163,0.004898138046264648
164,0.004962987369961209
165,0.00496468702952067
166,0.004927511215209961
167,0.005060217115614149
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,
223,
224,
225,
226,
227,
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
